table,key,ko,en,ja,zh-Hans,note
CNT_Biome,CNT_BIOME_FOREST_NAME,숲,Forest,森,森林,
CNT_Biome,CNT_BIOME_MEADOW_NAME,초원,Meadow,草原,草原,
CNT_Biome,CNT_BIOME_TEMPLE_NAME,신전,Temple,神殿,神殿,
CNT_Biome,CNT_BIOME_JUNGLE_NAME,정글,Jungle,ジャングル,丛林,
CNT_Biome,CNT_BIOME_DESERT_NAME,사막,Desert,砂漠,沙漠,
CNT_Biome,CNT_BIOME_RUINS_NAME,유적,Ruins,遺跡,遗迹,
CNT_Biome,CNT_BIOME_CAVE_NAME,동굴,Cave,洞窟,洞穴,
CNT_Biome,CNT_BIOME_VOLCANO_NAME,화산,Volcano,火山,火山,
CNT_Biome,CNT_BIOME_SWAMP_NAME,늪,Swamp,沼,沼泽,
CNT_Biome,CNT_BIOME_BEACH_NAME,해변,Beach,海辺,海滩,
CNT_Biome,CNT_BIOME_OCEAN_NAME,바다,Ocean,海,海洋,
CNT_Biome,CNT_BIOME_ABYSS_NAME,심연,Abyss,深淵,深渊,
CNT_Biome,CNT_BIOME_SNOW_NAME,설원,Snowfield,雪原,雪原,
CNT_Biome,CNT_BIOME_GRAVE_NAME,무덤,Grave,墓地,墓地,
CNT_Biome,CNT_BIOME_CIRCUS_NAME,서커스,Circus,サーカス,马戏团,
CNT_Biome,CNT_BIOME_VOID_NAME,공허,Void,空虚,虚空,
CNT_Biome,CNT_BIOME_SPECIAL_NAME,스페셜,Special,スペシャル,特殊,
CNT_Biome,CNT_BIOME_SKYISLAND_NAME,하늘섬,Skyisland,天空島,天空岛,
