table,key,ko,en,ja,zh-Hans,note
CNT_Item,CNT_Fig_Ball_NAME,끈끈이 공,Sticky Ball,ねばねばボール,粘粘球,
CNT_Item,CNT_Fig_Ball_DESC,주사위를 리롤할 때마다 체력 +1 회복,Restores 1 HP every time you reroll a die,サイコロをリロールするたびにHP+1回復,每次重投骰子时恢复1点体力,
CNT_Item,CNT_Fig_Mushroom_NAME,버섯,Mushroom,キノコ,蘑菇,
CNT_Item,CNT_Fig_Mushroom_DESC,[눈금 2] 3개 이상 결산 시 체력 +5 회복,Restores 5 HP when 3 or more dice showing [2] are scored,[目2]が3個以上決算されるとHP+5回復,结算中出现3个以上[点数2]时，恢复5点体力,
CNT_Item,CNT_Fig_GoblinShield_NAME,고블린 방패,Goblin Shield,ゴブリンの盾,哥布林盾,
CNT_Item,CNT_Fig_GoblinShield_DESC,"피격 시 받는 피해 3 감소, 전투 시작 후 첫 턴 동안 받는 피해 추가 50% 감소 (매복)","Reduces damage taken by 3 when hit; during the first turn of battle, damage taken is further reduced by 50% (Ambush)",被弾時のダメージ-3。戦闘開始後の最初のターンはダメージがさらに50%減少(奇襲),受到攻击时伤害减少3点；战斗开始后的第一回合，受到的伤害额外减少50%（伏击）,
CNT_Item,CNT_Fig_Quiver_NAME,화살통,Quiver,矢筒,箭筒,
CNT_Item,CNT_Fig_Quiver_DESC,[스트레이트] 완성 시 칩수 +50,+50 Chips on completing [Straight],[ストレート]完成時、チップ+50,完成【顺子】时，筹码+50,
CNT_Item,CNT_Fig_StoneAxe_NAME,돌도끼,Stone Axe,石斧,石斧,
CNT_Item,CNT_Fig_StoneAxe_DESC,[트리플] 완성 시 칩수 +10 (사용한 눈이 모두 6이면 칩수 +40),+10 Chips on completing [Triple] (+40 Chips instead if all dice used show 6),[スリーカード]完成時、チップ+10(使用した目が全て6ならチップ+40),完成【三条】时，筹码+10（若所用点数均为6，则筹码+40）,
CNT_Item,CNT_Fig_Emerald_NAME,에메랄드,Emerald,エメラルド,绿宝石,
CNT_Item,CNT_Fig_Emerald_DESC,게임 시작 시 골드 +80 즉시 획득,Immediately gain +80 gold at the start of the game,ゲーム開始時、ゴールド+80を即座に獲得,游戏开始时立即获得+80金币,
CNT_Item,CNT_Fig_TurtleShell_NAME,거북 등껍질,Turtle Shell,亀の甲羅,龟壳,
CNT_Item,CNT_Fig_TurtleShell_DESC,"최대 체력 +40, 피격 시 받는 피해 3 감소",+40 max HP; reduces damage taken by 3 when hit,最大HP+40。被弾時のダメージ-3,最大体力+40；受到攻击时伤害减少3点,
CNT_Item,CNT_Fig_BladeScale_NAME,칼날 비늘,Blade Scale,刃の鱗,刃鳞,
CNT_Item,CNT_Fig_BladeScale_DESC,주사위를 리롤할 때마다 적에게 피해 6,Deals 6 damage to the enemy every time you reroll a die,サイコロをリロールするたびに敵に6ダメージ,每次重投骰子时，对敌人造成6点伤害,
CNT_Item,CNT_Fig_GladiatorHeadband_NAME,투기의 머리띠,Fighting Spirit Headband,闘気のハチマキ,斗气头带,
CNT_Item,CNT_Fig_GladiatorHeadband_DESC,체력 50% 이하일 때 배수 +2.0 상시 적용,"While HP is at 50% or below, permanently applies +2.0 multiplier",HPが50%以下の時、倍率+2.0を常時適用,体力在50%以下时，持续增加倍率+2.0,
CNT_Item,CNT_Fig_LightningHorseshoe_NAME,번개 편자,Lightning Horseshoe,雷の蹄鉄,雷电马蹄铁,
CNT_Item,CNT_Fig_LightningHorseshoe_DESC,[투 페어] 완성 시 배수 +1.2,+1.2 multiplier on completing [Two Pair],[ツーペア]完成時、倍率+1.2,完成【两对】时，倍率+1.2,
CNT_Item,CNT_Fig_SolgaEye_NAME,솔가의 눈,Solgar's Eye,ソルガの目,索尔加之眼,
CNT_Item,CNT_Fig_SolgaEye_DESC,[눈금 1] 3개 이상 결산 시 기본 칩수 +100,+100 base Chips when 3 or more dice showing [1] are scored,[目1]が3個以上決算されると基本チップ+100,结算中出现3个以上[点数1]时，基础筹码+100,
CNT_Item,CNT_Fig_ClayMonk_NAME,찰흙 동자승,Clay Acolyte,粘土の童子僧,泥塑童僧,
CNT_Item,CNT_Fig_ClayMonk_DESC,스낵 사용 4회마다 1회 소멸하지 않음 (누적 0/4),Every 4th Snack use is not consumed (0/4 stacks),スナックを4回使用するごとに1回消滅しない(累積0/4),每使用4次零食，其中1次不会消耗（累计0/4）,
CNT_Item,CNT_Fig_BuddhaNose_NAME,불상의 코,Buddha's Nose,仏像の鼻,佛像之鼻,
CNT_Item,CNT_Fig_BuddhaNose_DESC,[트리플] 완성 시 배수 +1.3,+1.3 multiplier on completing [Triple],[スリーカード]完成時、倍率+1.3,完成【三条】时，倍率+1.3,
CNT_Item,CNT_Fig_OldPrayerBeads_NAME,오래된 염주,Old Rosary,古い数珠,旧念珠,
CNT_Item,CNT_Fig_OldPrayerBeads_DESC,"최대 체력 +15, 전투 종료 시 체력 +3 회복",+15 max HP; restores 3 HP at the end of battle,最大HP+15。戦闘終了時、HP+3回復,最大体力+15；战斗结束时恢复3点体力,
CNT_Item,CNT_Fig_AshCenser_NAME,재의 향로,Ash Censer,灰の香炉,灰烬香炉,
CNT_Item,CNT_Fig_AshCenser_DESC,주사위를 파괴할 때마다 영구 칩수 +2,Permanently +2 Chips every time a die is destroyed,サイコロを破壊するたびに永久チップ+2,每次摧毁骰子时，永久增加2点筹码,
CNT_Item,CNT_Fig_RedLotus_NAME,붉은 연꽃,Red Lotus,赤い蓮,红莲,
CNT_Item,CNT_Fig_RedLotus_DESC,[원 페어] 완성 시 잃은 체력의 10% 즉시 회복,Instantly recover 10% of lost HP on completing [One Pair],[ワンペア]完成時、失ったHPの10%を即座に回復,完成【一对】时，立即恢复已损失体力的10%,
CNT_Item,CNT_Fig_GuanyinCrown_NAME,관음 왕관,Goddess Crown,観音の王冠,观音王冠,
