table,key,ko,en,ja,zh-Hans,note
ENC,ENC_CLOWN_NAME,광대,Clown,クラウン,小丑,
ENC,ENC_CLOWN_DLG_01,여태까지의 여정은 꽤나 피곤하셨지요?,"The journey so far must've been quite tiring, hasn't it?",これまでの旅はかなりお疲れでしょう?,到目前为止的旅程相当疲惫吧？,
ENC,ENC_CLOWN_DLG_02,그럴 줄 알고 특별히 준비했습니다.,"I thought so, so I prepared something special.",そうだと思って、特別にご用意しましたよ。,我就知道，所以特意为您准备了点东西。,
ENC,ENC_CLOWN_DLG_03,여러분의 생명력을 아주 조금만 나누어 주신다면...,If you'd share just a little of your life force with me...,あなたの生命力を少しだけ分けていただければ…,只要您分给我一点点生命力…,
ENC,ENC_CLOWN_DLG_04,눈이 부시도록 화려하고 멋진 코팅들로 보답해 드리지요.,I'll repay you with dazzlingly gorgeous coatings.,目も眩むほど華やかで素敵なコーティングでお返ししましょう。,我会用光彩夺目的华丽涂层回报您的。,
ENC,ENC_CLOWN_DLG_05,"어떠신가요? 밑져야 본전인 가벼운 도박이랍니다, 하하하.","How about it? It's a light little gamble — nothing to lose, hahaha.",いかがです?損しても大したことのない、軽い賭けですよ、ははは。,怎么样？这是个反正不亏本的小赌注罢了，哈哈哈。,
ENC,ENC_CLOWN_CHOICE_A,현재 체력의 30%를 지불하고 소지한 주사위 4개를 다크 코팅,Pay 30% of your current HP to apply Dark Coating to 4 of your dice,現在HPの30%を払い、所持サイコロ4個をダークコーティングする,支付当前体力的30%，为所持有的4个骰子涂上黑暗涂层,
ENC,ENC_CLOWN_CHOICE_B,아무 일도 일어나지 않고 이동,"Nothing happens, move on",何も起こらず移動する,什么都不会发生，继续前进,
ENC,ENC_ABYSS_DEALER_NAME,심연의 딜러,Abyss Dealer,深淵のディーラー,深渊交易人,
ENC,ENC_ABYSS_DEALER_DLG_01,"발걸음 소리가 무겁군요, 지상에서 온 방랑자여.","Your footsteps are heavy, wanderer from the surface.",足音が重いな、地上から来た放浪者よ。,脚步声很沉重啊，来自地表的流浪者。,
ENC,ENC_ABYSS_DEALER_DLG_02,판단이 부족해 보라색 안개 속을 헤매고 계십니까?,"Lost in the purple mist for lack of judgment, are you?",判断力が足りず、紫の霧の中を彷徨っているのか?,是否因判断不足，正徘徊在紫色雾气之中？,
ENC,ENC_ABYSS_DEALER_DLG_03,과거의 영광을 모두 내려놓고 새로 시작할 준비가 되었다면...,If you're ready to lay down all past glory and start anew...,過去の栄光をすべて捨て、新たに始める準備ができているなら…,若您已准备好放下过往一切荣耀、重新开始…,
ENC,ENC_ABYSS_DEALER_DLG_04,이 어둠의 칩들이 당신의 주머니를 무겁게 채워줄 것입니다.,These chips of darkness will fill your pockets heavy.,この闇のチップがあなたの懐を重く満たしてくれるでしょう。,这些黑暗筹码，会将您的口袋填得沉甸甸的。,
