No	itemID	세트 이름	필요 피규어 (이름)	필요 피규어 수	effectType	effectValue	설명	NameKey	DescKey
1	SYN_DRAGONIC_KIN	역린을 건들다	Fig_008(칼날 비늘), Fig_050(아룡의 알), Fig_053(도마뱀 꼬리), Fig_054(히드라 인형), Fig_095(황금 발톱)	5	YachtMultiplierUp	0.2	아룡의 흔적들이 모이면 잠들어 있던 것이 깨어난다. [야추] 완성 시 배수 영구 +0.2	CNT_SYN_DRAGONIC_KIN_NAME	CNT_SYN_DRAGONIC_KIN_DESC
2	SYN_PLUSH_SERIES	꼭두각시	Fig_057(가재 인형), Fig_054(히드라 인형), Fig_029(모래벌레 인형), Fig_097(곰인형), Fig_067(아귀 인형), Fig_018(재규어 인형)	6	MaxHpUp	12	실과 바늘로 빚어낸 여섯 개의 인형이 스스로 움직이기 시작한다. 최대 체력 영구 +12	CNT_SYN_PLUSH_SERIES_NAME	CNT_SYN_PLUSH_SERIES_DESC
3	SYN_STRAY_CATS	고양이 왕국	Fig_084(냥이 솜털 손), Fig_085(그루밍 빗), Fig_086(고양이 눈), Fig_091(복고양이)	4	ShopRerollCostDown	-5	골목을 지배하는 건 사람이 아니라 고양이들이라는 걸 아는 자들의 특혜. 상점 리롤 기본 비용 영구 -5G	CNT_SYN_STRAY_CATS_NAME	CNT_SYN_STRAY_CATS_DESC
4	SYN_FLUFF_FRIENDS	복슬복슬	Fig_097(곰인형), Fig_089(황금 털뭉치), Fig_090(붉은 털뭉치)	3	MaxHpUp	4	복슬복슬하기로는 뒤지지 않는 친구들. 최대 체력 영구 +4	CNT_SYN_FLUFF_FRIENDS_NAME	CNT_SYN_FLUFF_FRIENDS_DESC
5	SYN_SEA_DICE	심해 속 주사위	Fig_061(문어 다이스), Fig_062(가오리 다이스), Fig_064(상어 다이스)	3	FourKindMultiplierUp	0.1	깊은 바다 밑에서 건져 올린 사냥꾼들의 형상. [포카드] 완성 시 배수 영구 +0.1	CNT_SYN_SEA_DICE_NAME	CNT_SYN_SEA_DICE_DESC
6	SYN_WEIRD_DICE	괴이한 눈금	Fig_033(가고일 주사위), Fig_034(다트 주사위), Fig_041(박쥐 주사위), Fig_077(사눈 다이스), Fig_093(하피 다이스)	5	StartWithSnackPeppermint	1	어딘가 기이하게 생긴 주사위들이 굴러갈 때마다 이상한 일이 벌어진다. 페퍼민트를 보유한 채로 시작	CNT_SYN_WEIRD_DICE_NAME	CNT_SYN_WEIRD_DICE_DESC
7	SYN_FROST_RELICS	냉혹의 결정체	Fig_069(눈꽃 결정), Fig_070(만년설 다이스), Fig_071(얼음 수정), Fig_072(예티의 방망이), Fig_073(얼어붙은 심장)	5	BurnDamageReductionUp	3	하얗게 얼어붙은 것들이 한자리에 모이면 냉기마저 무뎌진다. 화상 피해 감소 3	CNT_SYN_FROST_RELICS_NAME	CNT_SYN_FROST_RELICS_DESC
8	SYN_BONE_COLLECTORS	시체 수집가	Fig_035(황금 해골), Fig_076(두개골), Fig_065(뼈다구), Fig_075(장의사의 낫), Fig_074(잿가루)	5	VictoryGoldChanceUp	0.02	죽음의 잔재를 수집하는 유별난 취미를 가진 자들. 전투 승리 시 추가 골드 획득 확률 영구 +2%	CNT_SYN_BONE_COLLECTORS_NAME	CNT_SYN_BONE_COLLECTORS_DESC
9	SYN_LAVA_RELICS	이글거리는 유산	Fig_043(지옥견 송곳니), Fig_044(용암 젤리), Fig_045(화염 목줄), Fig_046(용암 가면), Fig_049(화산 거미줄)	5	BurnPowerUp	2	불타는 것들만 모아온 컬렉션에서는 늘 탄내가 난다. 화상 부여량 영구 +2	CNT_SYN_LAVA_RELICS_NAME	CNT_SYN_LAVA_RELICS_DESC
10	SYN_SAND_SONG	헤루툼의 노래	Fig_025(모래 방패), Fig_026(모래 목걸이), Fig_029(모래벌레 인형), Fig_030(모래시계), Fig_055(모래성)	5	ShopRerollCostDown	-5	사막왕국 헤루툼의 백성들이 모래바람 속에서 대대로 이어 불러온 노래. 상점 리롤 기본 비용 영구 -5G	CNT_SYN_SAND_SONG_NAME	CNT_SYN_SAND_SONG_DESC
11	SYN_CROWN_HAT	모자장수	Fig_017(관음 왕관), Fig_023(바나나 왕관), Fig_060(선장의 모자), Fig_081(조련사의 모자), Fig_094(도도새 모자)	5	StartGoldUp	100	머리에 쓰는 것 하나로 자존심을 세우는 모자장수의 진열장. 시작 골드 +100	CNT_SYN_CROWN_HAT_NAME	CNT_SYN_CROWN_HAT_DESC
12	SYN_HELMET_COLLECTION	안전제일	Fig_038(안전모), Fig_047(울퉁불퉁 헬멧), Fig_056(코코넛 헬멧)	3	IncomingDamageDown	1	모자보다 든든한 머리 보호구만 고집하는 삼형제의 신조. 피격 시 받는 피해 1 감소	CNT_SYN_HELMET_COLLECTION_NAME	CNT_SYN_HELMET_COLLECTION_DESC
13	SYN_MASQUERADE	가면무도회	Fig_022(덩굴 가면), Fig_046(용암 가면), Fig_078(콧수염 초승달), Fig_080(광대의 눈물)	4	OnePairMultiplierUp	0.3	얼굴을 가리거나 꾸민 손님들이 모여드는 은밀한 파티. [원 페어] 완성 시 배수 영구 +0.3	CNT_SYN_MASQUERADE_NAME	CNT_SYN_MASQUERADE_DESC
14	SYN_GOLDEN_LEGACY	황금빛 유산	Fig_006(에메랄드), Fig_032(현자의 돌), Fig_036(보물상자), Fig_082(스페이드 킹)	4	StartGoldUp	100	반짝이는 것에 이끌린 자들이 대를 이어 물려준 수집품. 시작 골드 영구 +100	CNT_SYN_GOLDEN_LEGACY_NAME	CNT_SYN_GOLDEN_LEGACY_DESC
15	SYN_SHIELD_BROTHERS	가디안즈	Fig_003(고블린 방패), Fig_025(모래 방패), Fig_007(거북 등껍질)	3	IncomingDamageDown	1	변경을 지키는 정예 부대 가디안즈가 대대로 즐겨 쓰던 방어구들. 피격 시 받는 피해 1 감소	CNT_SYN_SHIELD_BROTHERS_NAME	CNT_SYN_SHIELD_BROTHERS_DESC
16	SYN_SEA_CHILDREN	페이기가스의 시종	Fig_059(조개 껍질), Fig_063(소용돌이 트로피), Fig_068(불가사리), Fig_092(검은 지느러미)	4	MaxHpUp	6	갑룡왕 페이기가스를 따르던 바다의 시종들이 파도에 남기고 간 흔적. 최대 체력 영구 +6	CNT_SYN_SEA_CHILDREN_NAME	CNT_SYN_SEA_CHILDREN_DESC
17	SYN_SKYBORNE	스카이 워커	Fig_041(박쥐 주사위), Fig_093(하피 다이스), Fig_094(도도새 모자), Fig_098(연)	4	StraightMultiplierUp	0.3	날개가 있거나, 그저 날고 싶어했던 것들이 하늘 위를 떠돈다. [스트레이트] 완성 시 배수 영구 +0.3	CNT_SYN_SKYBORNE_NAME	CNT_SYN_SKYBORNE_DESC
18	SYN_RESONANCE_TRIO	오케스트라	Fig_087(황금 종), Fig_088(은색 종), Fig_096(풍신의 북)	3	FullHouseMultiplierUp	0.2	소리로 존재감을 알리는 것들이 모이면 저절로 합주가 된다. [풀하우스] 완성 시 배수 영구 +0.2	CNT_SYN_RESONANCE_TRIO_NAME	CNT_SYN_RESONANCE_TRIO_DESC
19	SYN_TEMPLE_RELICS	오래된 렐릭	Fig_012(찰흙 동자승), Fig_013(불상의 코), Fig_014(오래된 염주), Fig_015(재의 향로), Fig_017(관음 왕관)	5	ShopRerollCostDown	-5	사원에서 건너온 경건한 유물들이 조용히 힘을 나눠준다. 상점 리롤 기본 비용 영구 -5G	CNT_SYN_TEMPLE_RELICS_NAME	CNT_SYN_TEMPLE_RELICS_DESC
20	SYN_PHARAOH_CURSE	파라오의 저주	Fig_031(투탕카멘), Fig_083(저주받은 석관), Fig_035(황금 해골)	3	VictoryGoldChanceUp	0.02	무덤을 함부로 건드린 자에게는 반드시 대가가 따른다. 전투 승리 시 추가 골드 획득 확률 영구 +2%	CNT_SYN_PHARAOH_CURSE_NAME	CNT_SYN_PHARAOH_CURSE_DESC
21	SYN_CIRCUS_PROPS	쇼는 시작되었다	Fig_079(깜짝 상자), Fig_081(조련사의 모자), Fig_082(스페이드 킹)	3	OnePairMultiplierUp	0.1	천막 안에서 금방이라도 튀어나올 것 같은 소품들의 개막. [원 페어] 완성 시 배수 영구 +0.1	CNT_SYN_CIRCUS_PROPS_NAME	CNT_SYN_CIRCUS_PROPS_DESC
22	SYN_STONE_KIN	룬의 아이들	Fig_033(가고일 주사위), Fig_040(흑요석 큐브), Fig_032(현자의 돌), Fig_042(고대의 룬)	4	IncomingDamageDown	1	단단한 돌과 그 위에 새겨진 고대 룬의 힘을 물려받은 것들의 결속. 피격 시 받는 피해 1 감소	CNT_SYN_STONE_KIN_NAME	CNT_SYN_STONE_KIN_DESC
23	SYN_CANDLELIGHT_RITE	부두교 의식	Fig_039(양초), Fig_052(마녀의 랜턴), Fig_015(재의 향로)	3	StartWithDarkCoating	1	어둠 속에서 향과 촛불로 영혼을 불러내는 은밀한 의식. 시작시 보유한 주사위 중 하나가 다크 코팅 된다.	CNT_SYN_CANDLELIGHT_RITE_NAME	CNT_SYN_CANDLELIGHT_RITE_DESC
24	SYN_MUSHROOM_KINGDOM	버섯 수프	Fig_002(버섯), Fig_019(맹그로브 버섯), Fig_051(좀비 버섯)	3	MaxHpUp	5	숲, 정글, 늪지에 흩어져 자라난 버섯 삼형제가 한 냄비에 모였다. 최대 체력 영구 +5	CNT_SYN_MUSHROOM_KINGDOM_NAME	CNT_SYN_MUSHROOM_KINGDOM_DESC
25	SYN_GREENHOUSE_FRIENDS	네이처 유니온	Fig_021(바나나), Fig_023(바나나 왕관), Fig_016(붉은 연꽃), Fig_027(선인장 화분), Fig_022(덩굴 가면)	5	StartWithSnackGarnish	1	식물을 닮은 것들이 뿌리를 내리고 하나의 정원을 이룬다. 가니쉬를 보유한 채로 시작	CNT_SYN_GREENHOUSE_FRIENDS_NAME	CNT_SYN_GREENHOUSE_FRIENDS_DESC
26	SYN_PHOENIX_BROTHERHOOD	RE:VIVE	Fig_028(유리병 속 신기루), Fig_048(불사조 깃털), Fig_051(좀비 버섯), Fig_053(도마뱀 꼬리), Fig_068(불가사리)	5	MaxHpUp	10	죽음을 몇 번이고 우습게 넘긴 자들의 결의. 최대 체력 영구 +10	CNT_SYN_PHOENIX_BROTHERHOOD_NAME	CNT_SYN_PHOENIX_BROTHERHOOD_DESC
27	SYN_BEYOND_DEATH	라그나로크	Fig_009(투기의 머리띠), Fig_046(용암 가면), Fig_065(뼈다구), Fig_073(얼어붙은 심장)	4	MaxHpUp	8	세상이 끝나는 순간에도 물러서지 않는 최후의 전사들. 최대 체력 영구 +8	CNT_SYN_BEYOND_DEATH_NAME	CNT_SYN_BEYOND_DEATH_DESC
28	SYN_ANCIENT_REMNANTS	고대의 잔재	Fig_037(거신의 징표), Fig_042(고대의 룬), Fig_032(현자의 돌), Fig_058(남겨진 편지)	4	StraightMultiplierUp	0.3	아주 오래전 누군가 남기고 간 것들이 다시 빛을 본다. [스트레이트] 완성 시 배수 영구 +0.3	CNT_SYN_ANCIENT_REMNANTS_NAME	CNT_SYN_ANCIENT_REMNANTS_DESC
29	SYN_EYE_CONTACT	지켜보는 자	Fig_066(심연의 동공), Fig_086(고양이 눈), Fig_011(솔가의 눈)	3	VictoryGoldChanceUp	0.02	어디선가 이쪽을 가만히 지켜보고 있는 눈들이 있다. 전투 승리 시 추가 골드 획득 확률 영구 +2%	CNT_SYN_EYE_CONTACT_NAME	CNT_SYN_EYE_CONTACT_DESC
30	SYN_HERO_ARMORY	용사의 무기고	Fig_004(화살통), Fig_005(돌도끼), Fig_075(장의사의 낫)	3	BaseChipsUp	2	손에 쥐는 순간 평범한 이도 전사로 만들어주는 무기들. 영구 주사위 칩수 +2	CNT_SYN_HERO_ARMORY_NAME	CNT_SYN_HERO_ARMORY_DESC
31	SYN_LUCKY_TRINKETS	행운의 잡동사니	Fig_001(끈끈이 공), Fig_010(번개 편자), Fig_020(나비 반지), Fig_024(사막여우 꼬리)	4	ShopPriceDiscountUp	5	주머니 속에 하나쯤 넣어두고 싶어지는 자잘한 행운들. 상점 아이템 구매 비용 영구 -5%	CNT_SYN_LUCKY_TRINKETS_NAME	CNT_SYN_LUCKY_TRINKETS_DESC
32	SYN_WIZARD_DRAWER	마법사의 서랍	Fig_032(현자의 돌), Fig_042(고대의 룬), Fig_052(마녀의 랜턴)	3	StraightMultiplierUp	0.1	서랍 속에 넣어둔 것들이 밤마다 은은히 빛나는 걸 눈치챈 사람은 많지 않다. [스트레이트] 완성 시 배수 영구 +0.1	CNT_SYN_WIZARD_DRAWER_NAME	CNT_SYN_WIZARD_DRAWER_DESC
33	SYN_ACCESSORY_SHOP	장신구 상점	Fig_020(나비 반지), Fig_026(모래 목걸이), Fig_017(관음 왕관)	3	ShopPriceDiscountUp	5	몸에 걸치는 장신구들이 나란히 진열된 작은 쇼윈도. 상점 아이템 구매 비용 영구 -5%	CNT_SYN_ACCESSORY_SHOP_NAME	CNT_SYN_ACCESSORY_SHOP_DESC
34	SYN_BEAST_TRACE	우두머리 흔적	Fig_043(지옥견 송곳니), Fig_095(황금 발톱), Fig_092(검은 지느러미)	3	StartWithSnackSteak	1	짐승의 몸에서 떨어져 나온 것들에는 여전히 힘이 남아 있다. 스테이크를 보유한 채로 시작	CNT_SYN_BEAST_TRACE_NAME	CNT_SYN_BEAST_TRACE_DESC
