table,key,ko,en,ja,zh-Hans,note
TUT,TUT_SPEAKER_DEVIL,악마 주사위,Devil Dice,デビルダイス,骰子恶魔,
TUT,Tut_01,크크크... 난 악마 주사위다. 이 지독한 요트 다이스의 세계에 온 걸 환영하지.,Kekeke... I'm the Devil Dice. Welcome to this wretched world of Yacht Dice.,くくく…俺は悪魔のサイコロだ。この容赦のないヨットダイスの世界へようこそ。,呵呵呵…我是骰子恶魔。欢迎来到这个残酷的快艇骰子世界。,
TUT,Tut_02,우선 저기 있는 '굴리기' 버튼을 눌러서 주사위를 던져봐라!,"First, hit that 'Roll' button over there and throw the dice!",まずはあそこの「振る」ボタンを押してサイコロを投げてみろ!,首先按下那边的「投掷」按钮，掷出骰子吧!,
TUT,Tut_03,"호오, 제법인데? 이제 첫 번째와 두 번째 주사위를 클릭해서 '킵(Keep)' 해봐라. 다른 건 만지지 말고!","Ooh, not bad. Now click the first and second dice to 'Keep' them. Don't touch the rest!",おお、なかなかだな。今度は1番目と2番目のサイコロをクリックして「キープ」してみろ。他のは触るなよ!,哦，还不错嘛？现在点击第一个和第二个骰子进行「保留」。别碰其他的!,
TUT,Tut_04,좋아. 킵한 주사위는 고정된 거다. 이제 다시 '굴리기' 버튼을 눌러봐라!,Good. Kept dice are locked in place. Now hit the 'Roll' button again!,いいぞ。キープしたサイコロは固定される。もう一度「振る」ボタンを押してみろ!,很好，保留的骰子会被固定住。现在再按一次「投掷」按钮吧!,
TUT,Tut_05,"크크크,봤나? 이렇게 마음에 드는 주사위는 킵해두고 나머지 주사위만 다시 굴릴 수 있지.","Kekeke, see that? You can keep the dice you like and only reroll the rest.",くくく、見たか?こうして気に入ったサイコロはキープして、残りだけ振り直せるんだ。,呵呵呵，看到了吧？就这样把喜欢的骰子留住，只重投剩下的骰子。,
TUT,Tut_06,이제 모든 주사위를 킵하고 '끝내기' 버튼을 눌러서 저 불쌍한 몬스터를 공격해라!,Now keep all the dice and hit the 'Finish' button to attack that poor monster!,今度は全部のサイコロをキープして、「終了」ボタンを押してあの可哀想なモンスターを攻撃しろ!,现在保留所有骰子，按下「结束」按钮攻击那个可怜的怪物吧!,
TUT,Tut_07,쯧쯧... 한 번의 공격으로는 쓰러지지 않는군. 하지만 걱정 마라. 라운드마다 공격 기회는 총 세 번이나 주어지니까! 다시 굴리기 버튼을 눌러봐라,Tsk tsk... one hit won't take it down. But don't worry — you get three attacks per round! Hit the Roll button again.,ちっ…一撃では倒れないな。だが心配するな。1ラウンドで攻撃の機会は3回もあるからな!もう一度「振る」ボタンを押してみろ,啧啧…一击可打不倒它。不过别担心，每回合总共有三次攻击机会！再按一次「投掷」按钮吧,
TUT,Tut_08,오호! 눈금 5개가 전부 똑같이 나왔군! 이걸 '야추(Yacht)'라고 부른다. 족보 중에서도 가장 어마어마한 데미지가 들어가지! 주사위들을 다 킵해라,Oho! All five dice show the same number! This is called a 'Yacht.' It's the most devastating hand of them all! Keep all the dice.,おお!5つの目が全部同じだぞ!これを「ヤッツィー(Yacht)」と呼ぶんだ。役の中でも最大級のダメージが入るぞ!サイコロを全部キープしろ,哦！五个点数全都一样！这叫「快艇(Yacht)」。是所有牌型中伤害最恐怖的一种！把骰子都保留吧,
TUT,Tut_09,다시 '끝내기'를 눌러서 녀석의 숨통을 끊어버려라,Hit 'Finish' again and finish it off!,もう一度「終了」を押してあいつの息の根を止めろ,再按一次「结束」，给它致命一击吧,
