table,key,ko,en,ja,zh-Hans,note
CNT_Monster,CNT_MON_BABY_GOBLIN_NAME,아기 고블린,Baby Goblin,赤ちゃんゴブリン,小哥布林,
CNT_Monster,CNT_MON_BABY_GOBLIN_DESC,숲에 서식하는 작고 끈질긴 아기 고블린입니다.,A small but tenacious baby goblin that lives in the forest.,森に生息する、小さいながらしぶといベビーゴブリンです。,栖息在森林中的弱小但顽强的哥布林幼崽。,
CNT_Monster,CNT_MON_BABY_MUSHROOM_NAME,아기 버섯,Baby Mushroom,赤ちゃんマッシュルーム,小蘑菇,
CNT_Monster,CNT_MON_BABY_MUSHROOM_DESC,축축한 곳을 좋아하는 평범한 버섯 생명체입니다.,An ordinary mushroom creature that loves damp places.,湿った場所を好む、ごく普通のキノコ生物です。,喜欢潮湿地方的普通蘑菇生物。,
CNT_Monster,CNT_MON_GOBLIN_WARRIOR_NAME,고블린 전사,Goblin Warrior,ゴブリン戦士,哥布林战士,
CNT_Monster,CNT_MON_GOBLIN_WARRIOR_DESC,조잡한 방패를 들고 전선을 지키는 고블린입니다.,A goblin that holds the front line with a crude shield.,粗末な盾を手に前線を守るゴブリンです。,手持简陋盾牌坚守前线的哥布林。,
CNT_Monster,CNT_MON_MUSHROOM_ARCHER_NAME,버섯궁수,Mushroom Archer,マッシュルームアーチャー,蘑菇弓手,
CNT_Monster,CNT_MON_MUSHROOM_ARCHER_DESC,원거리에서 포자 화살을 날리는 버섯 기스크입니다.,A mushroom creature that fires spore arrows from a distance.,遠距離から胞子の矢を放つキノコの生物です。,从远处射出孢子箭的蘑菇生物。,
CNT_Monster,CNT_MON_BUGBEAR_NAME,버그베어,Bugbear,バグベア,熏熊,
CNT_Monster,CNT_MON_BUGBEAR_DESC,거대한 돌도끼를 휘두르는 숲 구역의 우두머리입니다.,"The forest region's chieftain, wielding a massive stone axe.",巨大な石斧を振り回す森エリアの首領です。,挥舞巨大石斧的森林区域头目。,
CNT_Monster,CNT_MON_BLADE_GLASS_SNAKE_NAME,칼날뱀,Blade-Glass Snake,刃硝子ヘビ,刃玻璃蛇,
CNT_Monster,CNT_MON_BLADE_GLASS_SNAKE_DESC,유리처럼 날카로운 비늘로 적을 베어내는 뱀입니다.,A snake that slashes foes with scales as sharp as glass.,ガラスのように鋭い鱗で敵を切り裂くヘビです。,用玻璃般锋利的鳞片斩杀敌人的蛇。,
CNT_Monster,CNT_MON_GREENERY_TURTLE_NAME,녹지 거북,Greenery Turtle,緑地の亀,绿地乌龟,
CNT_Monster,CNT_MON_GREENERY_TURTLE_DESC,등껍질이 매우 단단하여 방어력이 높은 거북이입니다.,A turtle with an extremely hard shell and high defense.,甲羅が非常に硬く、防御力の高い亀です。,甲壳异常坚硬、防御力很高的乌龟。,
CNT_Monster,CNT_MON_GUARDIAN_OF_MEADOW_NAME,파수꾼,Guardian of Meadow,草原の守護者,草原守卫者,
CNT_Monster,CNT_MON_GUARDIAN_OF_MEADOW_DESC,평원의 입구를 묵묵히 지키는 고대의 파수꾼입니다.,An ancient guardian silently watching over the meadow's entrance.,草原の入り口を静かに守る古代の守護者です。,静静守护草原入口的古代守护者。,
CNT_Monster,CNT_MON_MUSCLE_RABBIT_NAME,근육토끼,Muscle Rabbit,マッスルラビット,肌肉兔,
CNT_Monster,CNT_MON_MUSCLE_RABBIT_DESC,무시무시한 각력과 투기를 뿜어내는 기괴한 토끼입니다.,A bizarre rabbit radiating terrifying leg strength and fighting spirit.,恐ろしい脚力と闘気を放つ奇怪なウサギです。,散发着恐怖腿力与斗气的怪异兔子。,
CNT_Monster,CNT_MON_SOLGAR_NAME,사자왕 솔가,"Solgar, the Lion King",獅子王ソルガ,狮王索尔加,
CNT_Monster,CNT_MON_SOLGAR_DESC,초원의 지배자이자 맹수의 왕인 솔가입니다.,"Solgar, ruler of the plains and king of beasts.",草原の支配者にして猛獣の王、ソルガです。,统治草原、身为猛兽之王的索尔加。,
CNT_Monster,CNT_MON_THUNDER_HOOF_NAME,천둥마,Thunder Hoof,サンダーフーフ,雷蹄,
CNT_Monster,CNT_MON_THUNDER_HOOF_DESC,번개의 힘이 깃든 편자를 지닌 강력한 야생마입니다.,A powerful wild horse bearing horseshoes charged with lightning.,雷の力を宿した蹄鉄を持つ強力な野生馬です。,蹄铁蕴含雷电之力的强大野马。,
CNT_Monster,CNT_MON_SS_ACOLYTE_NAME,동자승,Young Acolyte,童子僧,童子僧,
CNT_Monster,CNT_MON_SS_ACOLYTE_DESC,사원을 떠돌며 깨진 목탁을 두드리는 동자승입니다.,"A young monk who wanders the temple, beating a cracked wooden gong.",割れた木魚を叩きながら寺院を彷徨う童子僧です。,敲着破裂木鱼在寺院徘徊的小僧。,
CNT_Monster,CNT_MON_SS_FACE_LEAF_LOTUS_NAME,인면 연꽃,Face-Leaf Lotus,人面蓮,人面莲,
CNT_Monster,CNT_MON_SS_FACE_LEAF_LOTUS_DESC,사람의 얼굴을 닮은 불길한 연꽃 종자입니다.,An ominous lotus seed resembling a human face.,人の顔に似た不気味な蓮の種子です。,长得像人脸的不祥莲花种子。,
CNT_Monster,CNT_MON_SS_INCENSE_WRAITH_NAME,향불 위습,Incense Wraith,香煙の幽鬼,香烛幽魂,
CNT_Monster,CNT_MON_SS_INCENSE_WRAITH_DESC,향불의 연기 속에서 나타나는 어스름한 영혼입니다.,A dim spirit that appears within the smoke of burning incense.,線香の煙の中に現れる薄暗い霊です。,从香烛烟雾中现身的幽暗亡魂。,
CNT_Monster,CNT_MON_SS_MYRIAD_HAND_NAME,천수관음,Myriad-Handed Idol,千手観音,千手观音,
CNT_Monster,CNT_MON_SS_MYRIAD_HAND_DESC,사원 깊은 곳을 좌지우지하는 수많은 손의 신상입니다.,An idol of countless hands that rules the temple's deepest chambers.,寺院の奥深くを支配する無数の手を持つ神像です。,掌控寺院深处、拥有无数手臂的神像。,
CNT_Monster,CNT_MON_SS_ROSARY_SERPENT_NAME,염주 구렁이,Rosary Serpent,数珠の大蛇,念珠巨蟒,
CNT_Monster,CNT_MON_SS_ROSARY_SERPENT_DESC,오래된 사원의 주위를 맴오는 거대한 구렁이입니다.,A giant serpent that coils around the ancient temple.,古い寺院の周りをうろつく巨大な蛇です。,盘绕在古老寺院周围的巨蛇。,
CNT_Monster,CNT_MON_SS_WEEPING_BUDDHA_NAME,피 흘리는 불상,Weeping Buddha,血を流す仏像,血泪佛像,
CNT_Monster,CNT_MON_SS_WEEPING_BUDDHA_DESC,기이한 피눈물을 흘리며 압박감을 주는 석상입니다.,A statue that unsettles onlookers with strange tears of blood.,不気味な血の涙を流し圧迫感を与える石像です。,流出诡异血泪、给人压迫感的石像。,
CNT_Monster,CNT_MON_BANANA_KINGKONG_NAME,바나나 킹콩,Banana Kingkong,バナナキングコング,香蕉金刚,
CNT_Monster,CNT_MON_BANANA_KINGKONG_DESC,정글 생태계의 정점에 선 폭군 킹콩입니다.,The tyrant Kingkong standing atop the jungle ecosystem.,ジャングル生態系の頂点に立つ暴君キングコングです。,立于丛林生态顶端的暴君金刚。,
CNT_Monster,CNT_MON_BANANA_MONKEY_NAME,바나나 몽키,Banana Monkey,バナナモンキー,香蕉猴,
CNT_Monster,CNT_MON_BANANA_MONKEY_DESC,원거리에서 바나나를 쉴 새 없이 던지는 원숭이입니다.,A monkey that endlessly hurls bananas from a distance.,遠距離からひたすらバナナを投げてくる猿です。,从远处不停投掷香蕉的猴子。,
CNT_Monster,CNT_MON_BUTTERFLY_NAME,나비,Butterfly,蝶,蝴蝶,
CNT_Monster,CNT_MON_BUTTERFLY_DESC,환각을 일으키는 아름답고 화려한 날개의 나비입니다.,"A beautiful, colorful-winged butterfly that induces hallucinations.",幻覚を引き起こす美しく華麗な羽の蝶です。,引发幻觉的美丽华丽翅膀的蝴蝶。,
CNT_Monster,CNT_MON_JUNGLE_MUSHROOM_NAME,정글 버섯,Jungle Mushroom,ジャングルマッシュルーム,丛林蘑菇,
