No.	itemID	nameKey	descKey	requiredFigureIds	필요 피규어 (이름)	필요 피규어 수	effectType	effectValue	defaultNameKo	defaultDescKo
1	SYN_DRAGONIC_KIN	CNT_SYN_DRAGONIC_KIN_NAME	CNT_SYN_DRAGONIC_KIN_DESC	Fig_008, Fig_050, Fig_053, Fig_054, Fig_095	Fig_008(칼날 비늘), Fig_050(아룡의 알), Fig_053(도마뱀 꼬리), Fig_054(히드라 인형), Fig_095(황금 발톱)	5	YachtMultiplierUp	0.2	역린을 건들다	아룡의 흔적들이 모이면 잠들어 있던 것이 깨어난다. [야추] 완성 시 배수 영구 +0.2
2	SYN_PLUSH_SERIES	CNT_SYN_PLUSH_SERIES_NAME	CNT_SYN_PLUSH_SERIES_DESC	Fig_057, Fig_054, Fig_029, Fig_097, Fig_067, Fig_018	Fig_057(가재 인형), Fig_054(히드라 인형), Fig_029(모래벌레 인형), Fig_097(곰인형), Fig_067(아귀 인형), Fig_018(재규어 인형)	6	MaxHpUp	12	꼭두각시	실과 바늘로 빚어낸 여섯 개의 인형이 스스로 움직이기 시작한다. 최대 체력 영구 +12
3	SYN_STRAY_CATS	CNT_SYN_STRAY_CATS_NAME	CNT_SYN_STRAY_CATS_DESC	Fig_084, Fig_085, Fig_086, Fig_091	Fig_084(냥이 솜털 손), Fig_085(그루밍 빗), Fig_086(고양이 눈), Fig_091(복고양이)	4	ShopRerollCostDown	-5	고양이 왕국	골목을 지배하는 건 사람이 아니라 고양이들이라는 걸 아는 자들의 특혜. 상점 리롤 기본 비용 영구 -5G
4	SYN_FLUFF_FRIENDS	CNT_SYN_FLUFF_FRIENDS_NAME	CNT_SYN_FLUFF_FRIENDS_DESC	Fig_097, Fig_089, Fig_090	Fig_097(곰인형), Fig_089(황금 털뭉치), Fig_090(붉은 털뭉치)	3	MaxHpUp	4	복슬복슬	복슬복슬하기로는 뒤지지 않는 친구들. 최대 체력 영구 +4
5	SYN_SEA_DICE	CNT_SYN_SEA_DICE_NAME	CNT_SYN_SEA_DICE_DESC	Fig_061, Fig_062, Fig_064	Fig_061(문어 다이스), Fig_062(가오리 다이스), Fig_064(상어 다이스)	3	FourKindMultiplierUp	0.1	심해 속 주사위	깊은 바다 밑에서 건져 올린 사냥꾼들의 형상. [포카드] 완성 시 배수 영구 +0.1
6	SYN_WEIRD_DICE	CNT_SYN_WEIRD_DICE_NAME	CNT_SYN_WEIRD_DICE_DESC	Fig_033, Fig_034, Fig_041, Fig_077, Fig_093	Fig_033(가고일 주사위), Fig_034(다트 주사위), Fig_041(박쥐 주사위), Fig_077(사눈 다이스), Fig_093(하피 다이스)	5	StartWithSnackPeppermint	1	괴이한 눈금	어딘가 기이하게 생긴 주사위들이 굴러갈 때마다 이상한 일이 벌어진다. 페퍼민트를 보유한 채로 시작
7	SYN_FROST_RELICS	CNT_SYN_FROST_RELICS_NAME	CNT_SYN_FROST_RELICS_DESC	Fig_069, Fig_070, Fig_071, Fig_072, Fig_073	Fig_069(눈꽃 결정), Fig_070(만년설 다이스), Fig_071(얼음 수정), Fig_072(예티의 방망이), Fig_073(얼어붙은 심장)	5	BurnDamageReductionUp	3	냉혹의 결정체	하얗게 얼어붙은 것들이 한자리에 모이면 냉기마저 무뎌진다. 화상 피해 감소 3
8	SYN_BONE_COLLECTORS	CNT_SYN_BONE_COLLECTORS_NAME	CNT_SYN_BONE_COLLECTORS_DESC	Fig_035, Fig_076, Fig_065, Fig_075, Fig_074	Fig_035(황금 해골), Fig_076(두개골), Fig_065(뼈다구), Fig_075(장의사의 낫), Fig_074(잿가루)	5	VictoryGoldChanceUp	0.02	시체 수집가	죽음의 잔재를 수집하는 유별난 취미를 가진 자들. 전투 승리 시 추가 골드 획득 확률 영구 +2%
9	SYN_LAVA_RELICS	CNT_SYN_LAVA_RELICS_NAME	CNT_SYN_LAVA_RELICS_DESC	Fig_043, Fig_044, Fig_045, Fig_046, Fig_049	Fig_043(지옥견 송곳니), Fig_044(용암 젤리), Fig_045(화염 목줄), Fig_046(용암 가면), Fig_049(화산 거미줄)	5	BurnPowerUp	2	이글거리는 유산	불타는 것들만 모아온 컬렉션에서는 늘 탄내가 난다. 화상 부여량 영구 +2
10	SYN_SAND_SONG	CNT_SYN_SAND_SONG_NAME	CNT_SYN_SAND_SONG_DESC	Fig_025, Fig_026, Fig_029, Fig_030, Fig_055	Fig_025(모래 방패), Fig_026(모래 목걸이), Fig_029(모래벌레 인형), Fig_030(모래시계), Fig_055(모래성)	5	ShopRerollCostDown	-5	헤루툼의 노래	사막왕국 헤루툼의 백성들이 모래바람 속에서 대대로 이어 불러온 노래. 상점 리롤 기본 비용 영구 -5G
11	SYN_CROWN_HAT	CNT_SYN_CROWN_HAT_NAME	CNT_SYN_CROWN_HAT_DESC	Fig_017, Fig_023, Fig_060, Fig_081, Fig_094	Fig_017(관음 왕관), Fig_023(바나나 왕관), Fig_060(선장의 모자), Fig_081(조련사의 모자), Fig_094(도도새 모자)	5	StartGoldUp	100	모자장수	머리에 쓰는 것 하나로 자존심을 세우는 모자장수의 진열장. 시작 골드 +100
12	SYN_HELMET_COLLECTION	CNT_SYN_HELMET_COLLECTION_NAME	CNT_SYN_HELMET_COLLECTION_DESC	Fig_038, Fig_047, Fig_056	Fig_038(안전모), Fig_047(울퉁불퉁 헬멧), Fig_056(코코넛 헬멧)	3	IncomingDamageDown	1	안전제일	모자보다 든든한 머리 보호구만 고집하는 삼형제의 신조. 피격 시 받는 피해 1 감소
13	SYN_MASQUERADE	CNT_SYN_MASQUERADE_NAME	CNT_SYN_MASQUERADE_DESC	Fig_022, Fig_046, Fig_078, Fig_080	Fig_022(덩굴 가면), Fig_046(용암 가면), Fig_078(콧수염 초승달), Fig_080(광대의 눈물)	4	OnePairMultiplierUp	0.3	가면무도회	얼굴을 가리거나 꾸민 손님들이 모여드는 은밀한 파티. [원 페어] 완성 시 배수 영구 +0.3
14	SYN_GOLDEN_LEGACY	CNT_SYN_GOLDEN_LEGACY_NAME	CNT_SYN_GOLDEN_LEGACY_DESC	Fig_006, Fig_032, Fig_036, Fig_082	Fig_006(에메랄드), Fig_032(현자의 돌), Fig_036(보물상자), Fig_082(스페이드 킹)	4	StartGoldUp	100	황금빛 유산	반짝이는 것에 이끌린 자들이 대를 이어 물려준 수집품. 시작 골드 영구 +100
15	SYN_SHIELD_BROTHERS	CNT_SYN_SHIELD_BROTHERS_NAME	CNT_SYN_SHIELD_BROTHERS_DESC	Fig_003, Fig_025, Fig_007	Fig_003(고블린 방패), Fig_025(모래 방패), Fig_007(거북 등껍질)	3	IncomingDamageDown	1	가디안즈	변경을 지키는 정예 부대 가디안즈가 대대로 즐겨 쓰던 방어구들. 피격 시 받는 피해 1 감소
16	SYN_SEA_CHILDREN	CNT_SYN_SEA_CHILDREN_NAME	CNT_SYN_SEA_CHILDREN_DESC	Fig_059, Fig_063, Fig_068, Fig_092	Fig_059(조개 껍질), Fig_063(소용돌이 트로피), Fig_068(불가사리), Fig_092(검은 지느러미)	4	MaxHpUp	6	페이기가스의 시종	갑룡왕 페이기가스를 따르던 바다의 시종들이 파도에 남기고 간 흔적. 최대 체력 영구 +6
17	SYN_SKYBORNE	CNT_SYN_SKYBORNE_NAME	CNT_SYN_SKYBORNE_DESC	Fig_041, Fig_093, Fig_094, Fig_098	Fig_041(박쥐 주사위), Fig_093(하피 다이스), Fig_094(도도새 모자), Fig_098(연)	4	StraightMultiplierUp	0.3	스카이 워커	날개가 있거나, 그저 날고 싶어했던 것들이 하늘 위를 떠돈다. [스트레이트] 완성 시 배수 영구 +0.3
18	SYN_RESONANCE_TRIO	CNT_SYN_RESONANCE_TRIO_NAME	CNT_SYN_RESONANCE_TRIO_DESC	Fig_087, Fig_088, Fig_096	Fig_087(황금 종), Fig_088(은색 종), Fig_096(풍신의 북)	3	FullHouseMultiplierUp	0.2	오케스트라	소리로 존재감을 알리는 것들이 모이면 저절로 합주가 된다. [풀하우스] 완성 시 배수 영구 +0.2
19	SYN_TEMPLE_RELICS	CNT_SYN_TEMPLE_RELICS_NAME	CNT_SYN_TEMPLE_RELICS_DESC	Fig_012, Fig_013, Fig_014, Fig_015, Fig_017	Fig_012(찰흙 동자승), Fig_013(불상의 코), Fig_014(오래된 염주), Fig_015(재의 향로), Fig_017(관음 왕관)	5	ShopRerollCostDown	-5	오래된 렐릭	사원에서 건너온 경건한 유물들이 조용히 힘을 나눠준다. 상점 리롤 기본 비용 영구 -5G
20	SYN_PHARAOH_CURSE	CNT_SYN_PHARAOH_CURSE_NAME	CNT_SYN_PHARAOH_CURSE_DESC	Fig_031, Fig_083, Fig_035	Fig_031(투탕카멘), Fig_083(저주받은 석관), Fig_035(황금 해골)	3	VictoryGoldChanceUp	0.02	파라오의 저주	무덤을 함부로 건드린 자에게는 반드시 대가가 따른다. 전투 승리 시 추가 골드 획득 확률 영구 +2%
21	SYN_CIRCUS_PROPS	CNT_SYN_CIRCUS_PROPS_NAME	CNT_SYN_CIRCUS_PROPS_DESC	Fig_079, Fig_081, Fig_082	Fig_079(깜짝 상자), Fig_081(조련사의 모자), Fig_082(스페이드 킹)	3	OnePairMultiplierUp	0.1	쇼는 시작되었다	천막 안에서 금방이라도 튀어나올 것 같은 소품들의 개막. [원 페어] 완성 시 배수 영구 +0.1
22	SYN_STONE_KIN	CNT_SYN_STONE_KIN_NAME	CNT_SYN_STONE_KIN_DESC	Fig_033, Fig_040, Fig_032, Fig_042	Fig_033(가고일 주사위), Fig_040(흑요석 큐브), Fig_032(현자의 돌), Fig_042(고대의 룬)	4	IncomingDamageDown	1	룬의 아이들	단단한 돌과 그 위에 새겨진 고대 룬의 힘을 물려받은 것들의 결속. 피격 시 받는 피해 1 감소
23	SYN_CANDLELIGHT_RITE	CNT_SYN_CANDLELIGHT_RITE_NAME	CNT_SYN_CANDLELIGHT_RITE_DESC	Fig_039, Fig_052, Fig_015	Fig_039(양초), Fig_052(마녀의 랜턴), Fig_015(재의 향로)	3	StartWithDarkCoating	1	부두교 의식	어둠 속에서 향과 촛불로 영혼을 불러내는 은밀한 의식. 시작시 보유한 주사위 중 하나가 다크 코팅 된다.
